fileIndex,dateIndex,parentFolder,file,uniqueFile,pntsPerLine,numLines,delx,delt,Total Dur (s),Line Length (um),meanInt,minInt,maxInt,rangeInt,signMeanVel,posNegVel,minVel,maxVel,rangeVel,meanVel,medianVel,stdVel,meanVelNoZero,nTotal,nNonNan,nNanTan,nNanOutliers,nNanFinal,percentNanFinal,percentGoodFinal,nZero,Surgery Type,Genotype,Sex,Age,Order,Direction,Depth,declanFile
41,4,20230105,20230105_A5_0008.tif,20230105/20230105_A5_0008.tif,18,30000,0.621,0.00112996666666667,33.899,11.178,22.4400185185185,0,83,83,-1,0,1.71686785653669,4.32000251520064,2.60313465866395,3.56962522030919,3.57063788281064,0.423260022919065,3.60802618521339,7497,7141,40,316,356,4.75,95.25,0,craniotomy,wt,male,young,,Towards,396.4,20230105_A5_0008.tif
42,5,20230105,20230105_A5_0009.tif,20230105/20230105_A5_0009.tif,25,30000,0.497,0.00114596666666667,34.379,12.425,28.5779133333333,1,95,94,-1,0,0.751181754584251,1.53776643327513,0.786584678690876,1.13207334251351,1.12981407122326,0.150382131434991,1.1300295239526,7497,7369,9,119,128,1.71,98.29,0,craniotomy,wt,male,young,,Away,151,20230105_A5_0009.tif
43,6,20230105,20230105_A5_0010.tif,20230105/20230105_A5_0010.tif,30,30000,0.26,0.00115396666666667,34.619,7.8,18.0121688888889,0,90,90,1,0,0.524422765166338,1.13270886041138,0.608286095245044,0.824901505834927,0.812440895702788,0.109367077673719,0.824994529823807,7497,7241,16,240,256,3.41,96.59,0,craniotomy,wt,male,young,,Towards,320,20230105_A5_0010.tif
44,7,20230105,20230105_A5_0011.tif,20230105/20230105_A5_0011.tif,29,30000,0.33,0.00115396666666667,34.619,9.57,15.5048609195402,0,64,64,-1,0,0.194710132369657,1.37485442666398,1.18014429429432,0.832649819416948,0.830517568069287,0.134883333209619,0.833920377789045,7497,7093,105,299,404,5.39,94.61,0,craniotomy,wt,male,young,,Away,381,20230105_A5_0011.tif
45,8,20230105,20230105_A5_0012.tif,20230105/20230105_A5_0012.tif,44,30000,0.215,0.00118196666666667,35.459,9.46,24.1177371212121,0,83,83,1,0,1.05859694089807,2.77526110125251,1.71666416035444,1.96780670564345,1.88910604266593,0.280914281985223,1.96855320962624,7497,7034,133,330,463,6.18,93.82,0,craniotomy,wt,male,young,,Towards,390,20230105_A5_0012.tif
46,9,20230105,20230105_A5_0013.tif,20230105/20230105_A5_0013.tif,27,30000,0.309,0.00114996666666667,34.499,8.343,22.1486679012346,0,71,71,1,0,0.244073020975239,1.56376191268599,1.31968889171075,0.924376111661691,0.921879741422108,0.191464395824785,0.924691764272489,7497,6898,230,369,599,7.99,92.01,0,craniotomy,wt,male,young,,Away,475,20230105_A5_0013.tif
47,0,20230110,20230110_A6_0002.tif,20230110/20230110_A6_0002.tif,14,30000,0.753,0.00112196666666667,33.659,10.542,17.3378476190476,1,78,77,-1,0,0,1.43927066562616,1.43927066562616,0.958377301215087,0.967448540851907,0.139760614264049,0.961025946794043,7497,6997,9,491,500,6.67,93.33,2,craniotomy,wt,male,young,1,Away,164.6,20230110_A6_0002.tif
48,1,20230110,20230110_A6_0003.tif,20230110/20230110_A6_0003.tif,22,30000,0.71,0.00113796666666667,34.139,15.62,20.8525166666667,1,117,116,-1,0,0,0.440942959848167,0.440942959848167,0.139541165352509,0.152672217721035,0.127453931312051,0.235578000037821,7497,7353,30,114,144,1.92,98.08,2843,craniotomy,wt,male,young,2,Away,163.8,20230110_A6_0003.tif
49,2,20230110,20230110_A6_0004.tif,20230110/20230110_A6_0004.tif,18,30000,0.71,0.00112996666666667,33.899,12.78,12.1757018518519,1,80,79,1,0,0.110792787076029,0.452337999853718,0.341545212777689,0.295652417696841,0.296343024272899,0.0564173316617871,0.297060566086659,7497,7179,0,318,318,4.24,95.76,0,craniotomy,wt,male,young,2,Towards,153.6,20230110_A6_0004.tif
50,3,20230110,20230110_A6_0005.tif,20230110/20230110_A6_0005.tif,23,30000,0.33,0.00114196666666667,34.259,7.59,16.3030086956522,0,105,105,-1,0,0,0.269473696043751,0.269473696043751,0.0729555785915043,0.0814994239817658,0.065295143736415,0.121022994753984,7497,7409,53,35,88,1.17,98.83,2756,craniotomy,wt,male,young,5,Towards,144.8,20230110_A6_0005.tif
